R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
99,Reggie Jackson ,"PG,SG",LAC,75,30.2,0.441(5.6/12.6),0.831(1.4/1.7),2.6,15.2,4.1,5.1,0.9,0.1,1.6,1.13
100,Saddiq Bey ,SF,DET,76,33.5,0.422(5.2/12.3),0.855(2.2/2.6),3.1,15.8,5.6,1.8,0.9,0.3,1.1,1.08
101,Jalen Suggs ,"PG,SG",ORL,73,31.2,0.441(6.0/13.6),0.753(1.9/2.5),1.4,15.3,4.3,5.4,1.4,0.3,2.9,1.03
102,Dwight Powell,"PF,C",DAL,68,26.2,0.637(3.2/5.1),0.814(2.6/3.2),0.2,9.2,6.3,1.7,0.9,0.8,1.1,1.02
103,Jonathan Isaac ,"SF,PF",ORL,56,27.1,0.451(3.7/8.3),0.767(1.4/1.8),0.8,9.6,5.1,1.1,1.2,1.6,1.1,0.98
104,De'Andre Hunter,"SF,PF",ATL,70,29.4,0.476(5.2/10.8),0.864(3.2/3.7),1.4,14.9,4.8,1.9,0.8,0.5,1.3,0.94
105,Andrew Wiggins,"SG,SF",GSW,74,32.1,0.476(6.8/14.2),0.708(2.3/3.3),1.9,17.7,4.7,2.3,0.9,1,1.7,0.9
106,Mason Plumlee,"PF,C",CHA,68,28.1,0.616(4.1/6.6),0.660(1.9/2.9),0,10,9,3.5,0.8,0.9,1.8,0.89
107,Jordan Poole,"PG,SG",GSW,74,27.6,0.441(5.6/12.8),0.897(3.0/3.3),2.7,16.9,2.5,2.7,0.7,0.3,1.4,0.82
108,Keldon Johnson,"SF,PF",SAS,74,31.2,0.474(6.4/13.4),0.749(2.3/3.1),1.4,16.4,6.5,2.2,1,0.4,1.2,0.81
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,Evan Mobley,C,CLE,73,28.5,0.475(4.8/10.0),0.706(2.0/2.8),0.6,12.1,7.5,1.9,0.7,1.7,2,0.81
110,Bobby Portis ,"PF,C",MIL,75,25.2,0.516(5.2/10.0),0.744(0.9/1.2),1.2,12.5,7.8,1.2,0.9,0.4,0.9,0.8
111,Jordan Clarkson,"PG,SG",UTA,74,26.7,0.424(6.7/15.7),0.904(1.9/2.1),3.1,18.3,4,2.5,0.9,0.1,1.7,0.78
112,Joe Ingles,"SG,SF",UTA,74,27.1,0.488(4.0/8.2),0.849(1.1/1.3),2.6,11.8,3.5,4.7,0.7,0.2,1.7,0.76
113,Kyle Anderson,"SF,PF",MEM,75,25.1,0.467(3.9/8.4),0.780(1.8/2.4),1.2,10.9,5.1,3.2,1.1,0.7,1.1,0.64
114,Joe Harris,"SG,SF",BRO,78,31.2,0.505(5.2/10.3),0.778(0.7/0.9),3.1,14.3,3.6,1.9,0.7,0.2,0.9,0.63
115,Chuma Okeke ,PF,ORL,68,30.1,0.432(4.0/9.2),0.769(0.9/1.2),1.4,10.3,5.1,2.8,1.4,0.6,1,0.63
116,Klay Thompson ,"SG,SF",GSW,45,26.8,0.460(6.7/14.6),0.816(1.3/1.6),2.8,17.5,3,1.8,0.8,0.5,1.1,0.58
117,Daniel Gafford,C,WAS,69,20.2,0.691(3.9/5.7),0.652(1.8/2.7),0,9.6,5.7,0.7,0.7,1.8,1.1,0.5
118,De'Anthony Melton,"PG,SG",MEM,70,22.8,0.434(3.7/8.6),0.796(0.9/1.1),1.9,10.3,3.5,2.8,1.2,0.7,1.5,0.29
119,Danny Green ,"SG,SF",PHI,74,28.2,0.417(3.3/7.9),0.833(0.5/0.6),2.4,9.5,3.8,1.7,1.2,0.7,1,0.19
120,Ivica Zubac,C,LAC,79,22.9,0.655(3.9/5.9),0.790(2.0/2.6),0,9.8,7.7,1.4,0.3,1,1.2,0.19
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,Khem Birch,"PF,C",TOR,74,29.8,0.499(3.8/7.7),0.715(1.8/2.6),0.3,9.8,7.6,1.7,0.9,1.2,0.9,0.1
122,Jae'Sean Tate,"SF,PF",HOU,76,29.1,0.506(4.5/8.8),0.716(1.5/2.1),0.9,11.3,5.4,2.5,1.2,0.5,1.4,0.09
123,Wendell Carter Jr.,C,ORL,67,28.8,0.507(4.7/9.3),0.725(2.6/3.6),0.3,12.4,9,2.1,0.7,0.9,1.5,0.07
124,Mo Bamba,C,ORL,68,22.5,0.476(3.7/7.8),0.708(1.2/1.7),1,9.6,7,1,0.4,1.8,1,0
125,Dennis Schroder,PG,BOS,74,29.4,0.432(5.0/11.5),0.850(3.1/3.7),1.1,14.1,3.2,5.3,1,0.2,2.5,-0.06
126,Jaden McDaniels,PF,MIN,75,27.9,0.451(4.3/9.5),0.688(0.8/1.1),1.4,10.7,5,1.9,0.8,1.3,0.9,-0.11
127,Al Horford ,"PF,C",BOS,68,24.8,0.459(4.1/8.9),0.818(0.9/1.1),1.3,10.3,5.4,3,0.7,0.7,0.8,-0.12
128,Larry Nance Jr.,"PF,C",POR,68,27.1,0.474(3.2/6.7),0.645(0.8/1.2),1,8,5.8,2.7,1.5,0.4,1.4,-0.13
129,Matisse Thybulle ,"SG,SF",PHI,74,24.6,0.438(2.5/5.6),0.571(0.2/0.4),0.9,6,2.2,1.2,1.7,1.3,0.6,-0.15
130,Jalen Green,SG,HOU,73,31.8,0.435(6.5/14.9),0.789(2.0/2.5),2.4,17.4,3.6,2.4,1.2,0.2,2.7,-0.18
131,Thomas Bryant ,C,WAS,38,25.2,0.647(5.3/8.2),0.664(1.4/2.2),0.8,12.9,5.5,1.4,0.4,0.7,1,-0.19
132,Will Barton,"SG,SF",DEN,70,32.5,0.434(5.8/13.4),0.791(1.8/2.3),1.9,15.3,4.2,3.3,0.9,0.4,1.8,-0.21
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,RJ Barrett,"SG,SF",NYK,75,34.4,0.447(6.9/15.5),0.763(3.0/3.9),1.8,18.6,5.9,3.1,0.7,0.3,2,-0.23
134,Montrezl Harrell,"PF,C",WAS,68,25,0.593(5.4/9.2),0.703(2.8/4.0),0,13.7,6.7,1.2,0.8,0.8,1.2,-0.28
135,Thaddeus Young,"PF,C",SAS,70,22.1,0.551(4.9/8.9),0.587(0.9/1.6),0.2,11,5.6,3.9,1,0.6,1.8,-0.31
136,Aleksej Pokusevski,SF,OKL,70,27.3,0.433(5.0/11.5),0.766(1.1/1.4),2,13.1,5.7,2.6,0.5,1.1,2.6,-0.32
137,Dillon Brooks ,"SG,SF",MEM,67,29.6,0.422(6.5/15.3),0.826(2.4/2.9),1.9,17.2,2.9,2.3,1.2,0.4,1.8,-0.38
138,Kyle Kuzma,"SF,PF",WAS,71,29.1,0.452(6.4/14.2),0.740(1.1/1.5),2.1,16.1,6.1,1.9,0.6,0.6,1.7,-0.44
139,Derrick Rose,"PG,SG",NYK,65,23.2,0.467(5.2/11.1),0.877(2.0/2.3),0.9,13.3,2.4,3.8,0.9,0.4,1.5,-0.45
140,Desmond Bane,"PG,SG",MEM,76,28.9,0.461(4.5/9.8),0.840(0.8/0.9),2.3,12,4.1,2.5,0.8,0.3,1.2,-0.46
