R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,Deandre Ayton,C,PHX,76,31.8,0.617(6.8/10.9),0.772(2.0/2.6),0.2,15.6,10.9,1.5,0.6,1.2,1.6,4.91
38,Clint Capela,C,ATL,75,31.5,0.586(6.5/11.0),0.582(2.0/3.4),0,14.9,14.9,0.8,0.7,2.1,1.3,4.84
39,Khris Middleton,"SF,PF",MIL,75,33.1,0.474(7.4/15.7),0.885(3.1/3.5),2.2,20.2,6,5.4,1.1,0.1,2.6,4.79
40,Devin Booker,"SG,SF",PHX,76,34.6,0.484(9.5/19.5),0.865(5.2/6.0),1.9,26.1,4.3,4.4,0.8,0.2,3.2,4.57
41,Julius Randle,"PF,C",NYK,77,36.4,0.463(7.8/16.8),0.816(4.7/5.8),1.8,22.1,9.8,4.8,0.9,0.3,3.3,4.52
42,OG Anunoby,"SF,PF",TOR,70,33.9,0.473(6.2/13.1),0.789(2.1/2.7),2.7,17.2,5.6,2.4,1.5,0.7,1.7,4.32
43,Tyrese Haliburton,"PG,SG",SAC,72,32.1,0.472(6.1/13.0),0.884(1.0/1.1),2.5,15.8,3.2,5.6,1.4,0.5,1.7,4.31
44,Robert Williams,C,BOS,68,23.5,0.695(4.2/6.0),0.636(1.1/1.7),0,9.5,8,2.1,0.9,2,1.2,4.2
45,Zion Williamson ,PF,NOP,60,31.5,0.602(10.2/17.0),0.699(6.0/8.6),0.2,26.6,7.1,4,1,0.7,2.9,4.19
46,CJ McCollum,"PG,SG",POR,72,33.5,0.457(8.5/18.5),0.822(2.3/2.8),3.5,22.7,3.8,4.6,0.9,0.4,1.4,4.12
47,Lonzo Ball,"PG,SG",CHI,70,33.1,0.420(5.4/12.8),0.777(0.9/1.2),3,14.7,4.9,5.9,1.5,0.6,2.3,4.02
48,John Collins,"PF,C",ATL,75,30.2,0.575(6.7/11.7),0.834(2.7/3.2),1.3,17.4,7.3,1.2,0.5,1,1.3,4.02
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49,Draymond Green,"PF,C",GSW,72,32.7,0.449(2.8/6.2),0.797(1.1/1.4),0.5,7.3,7.5,7.9,1.6,0.8,3.1,4
50,Gordon Hayward ,"SG,SF",CHA,68,33.1,0.473(6.9/14.6),0.858(3.5/4.1),1.9,19.2,5.7,4,1.2,0.3,2.1,3.99
51,Pascal Siakam ,"PF,C",TOR,59,34.5,0.454(7.5/16.5),0.832(4.3/5.2),1.3,20.6,6.9,4.3,1.1,0.7,2.2,3.95
52,Derrick White,"PG,SG",SAS,69,33,0.440(6.7/15.3),0.843(3.0/3.6),2.6,19.1,3.4,4.4,1,1,1.5,3.91
53,De'Aaron Fox,PG,SAC,73,34.7,0.475(9.5/20.0),0.722(5.2/7.2),1.8,26,3.5,7.2,1.5,0.5,3,3.84
54,Dejounte Murray,"PG,SG",SAS,74,33.4,0.455(6.9/15.1),0.799(1.7/2.1),0.9,16.4,7.4,6.8,1.6,0.1,1.8,3.81
55,Mike Conley,PG,UTA,68,29.5,0.445(5.5/12.4),0.858(2.4/2.8),2.7,16,3.3,5.9,1.3,0.2,1.9,3.43
56,Jakob Poeltl,C,SAS,77,31.3,0.603(4.4/7.4),0.583(1.1/1.8),0,9.9,9.4,2.2,0.8,2.1,1.4,3.43
57,Jusuf Nurkic,C,POR,69,29.4,0.500(6.0/12.0),0.714(2.5/3.5),0.3,14.7,10.1,3,1,1.5,2.6,3.43
58,Malcolm Brogdon ,"PG,SG",IND,70,34.1,0.445(7.5/16.8),0.845(2.7/3.2),2.5,20.1,5.1,5.8,0.9,0.3,2.1,3.42
59,Mikal Bridges,"SG,SF",PHX,78,32.8,0.538(5.0/9.3),0.829(1.5/1.8),1.9,13.5,4.3,2.1,1.1,0.9,0.8,3.32
60,Terry Rozier ,"PG,SG",CHA,75,34.1,0.441(7.1/16.2),0.829(2.4/2.9),3,19.6,4.3,4.1,1.2,0.4,1.9,3.31
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61,Kyle Lowry ,PG,MIA,72,32.1,0.438(5.2/12.0),0.857(2.8/3.2),2.7,15.9,4.8,6.4,0.9,0.3,2.5,3.2
62,Jonas Valanciunas,C,NOP,73,29.4,0.574(6.2/10.8),0.776(2.4/3.0),0.3,15.1,10.8,1.8,0.5,0.9,1.6,3.13
63,Bogdan Bogdanovic,"SF,PF",ATL,68,29.6,0.476(6.1/12.8),0.900(0.9/1.0),3.3,16.3,3.6,3.3,1.1,0.3,1.2,3.12
64,Darius Garland ,PG,CLE,70,33.7,0.457(7.7/16.9),0.872(2.2/2.5),2.2,19.9,2.5,6.4,1.3,0.1,3.1,3.01
65,Russell Westbrook,PG,LAL,76,34.1,0.468(7.3/15.6),0.706(3.6/5.0),1.1,19.3,8.2,7.9,1.2,0.3,3.9,2.82
66,Ja Morant,PG,MEM,73,33.6,0.466(7.6/16.3),0.769(4.5/5.9),1.4,21.2,4.5,7.9,1,0.3,3.3,2.81
67,Jerami Grant,"SF,PF",DET,74,32.4,0.450(6.4/14.1),0.843(5.2/6.1),2,19.9,4.4,2.7,0.6,1.1,1.9,2.74
68,Caris LeVert ,"SG,SF",IND,68,30.2,0.440(7.1/16.2),0.812(2.9/3.6),1.7,18.9,4.3,4.9,1.3,0.6,2.1,2.74
69,Collin Sexton ,"PG,SG",CLE,75,35.4,0.474(8.6/18.1),0.820(5.2/6.4),1.6,23.9,3.2,4.2,1.1,0.2,2.8,2.73
70,Kemba Walker,PG,NYK,67,30.1,0.421(6.3/14.9),0.885(2.9/3.3),2.8,18.3,3.8,4.6,1,0.3,1.9,2.66
71,Isaiah Stewart,"PF,C",DET,75,30.1,0.543(4.6/8.5),0.732(1.4/1.9),0.4,11.1,9.1,1.3,0.8,1.6,1.4,2.65
72,Anthony Edwards,"SG,SF",MIN,77,34.5,0.436(7.9/18.0),0.789(3.2/4.1),2.6,21.5,4.9,3.5,1.2,0.5,2.4,2.63
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73,Kawhi Leonard ,"SG,SF",LAC,10,25.1,0.474(6.4/13.5),0.834(3.6/4.3),1.4,17.8,4.7,3.7,1.2,0.3,1.7,2.45
74,Christian Wood,"PF,C",HOU,70,32.5,0.513(7.6/14.9),0.646(3.0/4.6),1.8,20,9.3,1.6,0.8,1.1,1.9,2.34
75,Jarrett Allen,C,CLE,74,31.4,0.611(5.0/8.2),0.695(3.4/4.9),0.1,13.6,10.6,1.8,0.5,1.5,1.7,2.23
76,PJ Washington,"PF,C",CHA,74,30.5,0.447(4.8/10.7),0.753(1.8/2.4),1.8,13.1,6.6,2.5,1.1,1.2,2,2.16
77,Robert Covington,"PF,C",POR,76,32,0.423(3.5/8.2),0.778(0.7/0.9),2,9.7,6.7,1.7,1.4,1,0.9,2.14
78,DeMar DeRozan,"SF,PF",CHI,76,32.2,0.501(7.0/14.0),0.874(5.4/6.2),0.3,19.7,3.7,3.9,0.8,0.2,1.7,2.12
79,Kevin Porter Jr.,"SG,SF",HOU,70,33.1,0.438(6.7/15.2),0.752(2.6/3.5),2.2,18.1,4.2,7.1,1.2,0.4,3.3,2.11
80,Chris Boucher ,"PF,C",TOR,64,26.1,0.512(4.4/8.5),0.780(2.3/2.9),1.4,12.4,6.2,1,0.5,1.7,0.7,1.96
81,Ben Simmons ,PG,PHI,64,32.5,0.554(5.6/10.1),0.612(3.0/4.9),0.1,14.3,7.2,7,1.6,0.6,3,1.92
82,Mitchell Robinson ,C,NYK,69,27.1,0.641(3.9/6.1),0.553(1.0/1.8),0,8.8,8.2,0.5,1.1,1.7,0.9,1.91
83,Marcus Smart ,"PG,SG",BOS,70,32,0.415(4.4/10.6),0.794(2.6/3.3),1.9,13.4,3.4,5.8,1.5,0.5,1.9,1.91
84,Nickeil Alexander-Walker,"SG,SF",NOP,71,28.5,0.437(5.9/13.4),0.765(1.4/1.8),2.4,15.5,4.2,3,1.4,0.7,2,1.85
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,D'Angelo Russell ,"PG,SG",MIN,70,30.2,0.432(7.1/16.3),0.751(2.8/3.8),3,20,2.8,6.1,1.1,0.4,2.8,1.82
86,Jamal Murray ,"PG,SG",DEN,19,28.1,0.466(6.2/13.4),0.874(2.2/2.5),2.1,16.8,3.2,3.8,1,0.2,1.7,1.79
87,Cade Cunningham ,"PG,SG",DET,74,31.7,0.426(5.8/13.6),0.841(2.9/3.5),1.9,16.4,4.8,3.7,1.2,0.6,3.5,1.73
88,Evan Fournier,"SG,SF",NYK,70,31,0.453(5.5/12.1),0.807(2.6/3.2),2.8,16.4,3,3,1.1,0.5,1.7,1.71
89,Norman Powell,"SG,SF",POR,75,32.1,0.467(6.0/12.9),0.870(3.3/3.8),2.4,17.7,3,1.8,1,0.3,1.7,1.7
90,Buddy Hield,"SG,SF",SAC,76,33.3,0.418(5.5/13.2),0.801(1.2/1.5),3.9,16.1,4.6,3.5,0.9,0.4,1.8,1.67
91,T.J. McConnell,"PG,SG",IND,76,23.7,0.564(3.7/6.5),0.719(0.5/0.6),0.2,7.8,3.4,6,1.7,0.3,1.8,1.65
92,Brook Lopez,C,MIL,75,27.1,0.506(4.6/9.0),0.849(1.7/2.0),1.4,12.2,5,0.7,0.6,1.5,0.9,1.56
93,Nerlens Noel ,"PF,C",NYK,70,24.8,0.599(2.2/3.7),0.724(0.8/1.2),0,5.3,6.7,0.7,1,2,1.1,1.5
94,Kelly Olynyk,"PF,C",DET,73,27.2,0.460(4.2/9.0),0.841(2.0/2.3),1.7,11.9,6.4,2.7,1,0.6,1.7,1.46
95,Harrison Barnes,"SF,PF",SAC,72,35.1,0.486(5.3/10.9),0.831(3.3/4.0),1.6,15.6,6.4,3.4,0.7,0.2,1.6,1.45
96,Spencer Dinwiddie,"PG,SG",WAS,69,30.7,0.429(5.9/13.8),0.797(3.6/4.5),2,17.4,3.9,6.8,0.8,0.3,3,1.23
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,Miles Bridges ,"SF,PF",CHA,77,28.4,0.500(4.5/9.1),0.884(1.5/1.6),1.7,12.3,5.8,2.1,0.6,0.8,1.6,1.21
98,Derrick Favors ,C,OKL,64,25.2,0.611(3.8/6.2),0.731(1.4/1.9),0,9,8.9,1,0.8,1.1,0.8,1.2
